Job_Requisition_ID,Job_Posting_Title,Job_Description,Job_Description_Summary,Additional_Job_Description,Country,Work_Location,Recruiting_Start_Date,Target_Hire_Date,Target_End_Date,Number_of_Openings,Directorate,External_Apply_URL,Worker_Type
R-189,Market Manager,"1. Responsible for managing pipeline of partners to assist business development in the acquisition/activation by products (hotel/transportation/event/etc) or by channel business in tiket.com (particular scope).
2. Responsible for providing the best products (hotel/transportation/etc) for tiket.com customers, starting from market and competitors analysis, vendor acquisitions to operations.
3. Responsible for ensuring all operational activities of commercial team run according to the procedure and target by create planning and strategy.
4. Do team development activities such as coaching and mentoring.
5. Cost analysis and short term plan",Responsible for providing the best offer for tiket.com customer.,,Indonesia,Headquarters,19-Feb-2020,31-Mar-2020,,1,Commercial (Dimas Surya Yaputra),https://tiketdotcom.wd3.myworkdayjobs.com/Tiket_Careers/job/Headquarters/Market-Manager_R-189/apply,EE
R-190,Market Manager,"1. Responsible for managing pipeline of partners to assist business development in the acquisition/activation by products (hotel/transportation/event/etc) or by channel business in tiket.com (particular scope).
2. Responsible for providing the best products (hotel/transportation/etc) for tiket.com customers, starting from market and competitors analysis, vendor acquisitions to operations.
3. Responsible for ensuring all operational activities of commercial team run according to the procedure and target by create planning and strategy.
4. Do team development activities such as coaching and mentoring.
5. Cost analysis and short term plan",Responsible for providing the best offer for tiket.com customer.,,Indonesia,Headquarters,19-Feb-2020,31-Mar-2020,,1,Commercial (Dimas Surya Yaputra),https://tiketdotcom.wd3.myworkdayjobs.com/Tiket_Careers/job/Headquarters/Market-Manager_R-190/apply,EE
R-191,Sr Developer Operations,"1. Building and managing infrastructure, running on Google Cloud and Amazon Web Services
2. Install, configure and manage server monitoring tools like Zabbix, Newrelic, Promotheus, etc
3. Install, configure and manage supporting applications like HAProxy, MySQL, Nginx,Jenkins, Consul,  Rundeck or any other necessary apps.
4. Deploy internal Apps with Ansible
5. Implement any custom scripting with Bash or Python if needed
6. Create and provide a detailed documentation for every task
7. Working with software engineers to deploy code regularly
8. Enhancing monitoring tools across our servers
9. Optimizing our server build and code deploy process
10. Implementing auto-scaling techniques
11. Analyze, design and evaluate automation scripts and systems
12. Research new technologies that will improve efficiency and effectiveness
13. Implement highly scalable development environment",To ensure cross-functional collaboration between software development and IT team (Ops team) run smoothly,,Indonesia,GNT Office,19-Feb-2020,31-Mar-2020,,1,Technology (Sanjay Singh),https://tiketdotcom.wd3.myworkdayjobs.com/Tiket_Careers/job/GNT-Office/Sr-Developer-Operations_R-191/apply,EE
R-194,Sr Backend Engineer - Tech Hotel,"<p>Responsible for designing, building, improving, or maintaining web/mobile applications, third-party data integration, data API, backend/frontend systems, or working with monitoring tools and infrastructure without supervision</p>",To develop software solution to support tiket.com to be the most customer centric OTA,,Indonesia,GNT Office,19-Feb-2020,31-Mar-2020,,1,Technology (Sanjay Singh),,EE
R-195,Sr Backend Engineer - Tech Hotel,"<p>Responsible for designing, building, improving, or maintaining web/mobile applications, third-party data integration, data API, backend/frontend systems, or working with monitoring tools and infrastructure without supervision</p>",To develop software solution to support tiket.com to be the most customer centric OTA,,Indonesia,GNT Office,19-Feb-2020,31-Mar-2020,,1,Technology (Sanjay Singh),,EE
R-201,Associate Market Manager Non Hotel Accommodation,"1. Responsible for managing pipeline of partners to assist business development in the acquisition/activation by products (hotel/transportation/event/etc) or by channel business in tiket.com (particular scope).
2. Responsible for providing the best products (hotel/transportation/etc) for tiket.com customers, starting from market and competitors analysis, vendor acquisitions to operations.",Responsible for providing the best offer for tiket.com customer.,,Indonesia,Surabaya Office,19-Feb-2020,31-Mar-2020,,1,Commercial (Dimas Surya Yaputra),,EE
R-203,Scrum Master,"1. To Facilitate Scrum Events :
• Sprint Planning
• Daily Scrum
• Sprint Review
• Sprint Retrospective
• Refinement / Grooming if needed
2. Supporting and educating the Product Owner, especially with respect to grooming and maintaining the product backlog
3. Removing impediments or guiding the team to remove impediments
4. Develop, implement and manage team metrics, evaluate team metrics and make recommendations to teams and management for improvements
5. Responsible for managing Scrum Artifacts with Product Owner & Development Team
6. Coach Scrum teams towards improving Agile process and metrics",Ensure implementation of scrum framework to support tiket.com objective,,Indonesia,GNT Office,19-Feb-2020,31-Mar-2020,,1,Product Development (Dimas Surya Yaputra),,EE
R-204,Sr Scrum Master,"<p>1. To Facilitate Scrum Events :<br />• Sprint Planning<br />• Daily Scrum<br />• Sprint Review<br />• Sprint Retrospective<br />• Refinement / Grooming if needed<br />2. Supporting and educating the Product Owner, especially with respect to grooming and maintaining the product backlog<br />3. Removing impediments or guiding the team to remove impediments<br />4. Develop, implement and manage team metrics, evaluate team metrics and make recommendations to teams and management for improvements<br />5. Responsible for managing Scrum Artifacts with Product Owner &amp; Development Team<br />6. Coach Scrum teams towards improving Agile process and metrics</p>",Ensure implementation of scrum framework to support tiket.com objective,,Indonesia,GNT Office,19-Feb-2020,31-Mar-2020,,1,Product Development (Dimas Surya Yaputra),https://tiketdotcom.wd3.myworkdayjobs.com/Tiket_Careers/job/GNT-Office/Sr-Scrum-Master_R-204/apply,EE
R-205,Sr Customer Care Support Manager,"1. Improve customer service experience, create engaged customers and facilitate organic growth
2. Take ownership of customers issues and follow problems through to resolution
3. Set a clear mission and deploy strategies focused towards that mission
4. Develop service procedures, policies and standards
5. Keep accurate records and document customer service actions and discussions
6. Analyse statistics and compile accurate reports
7. Keep ahead of industry’s developments and apply best practices to areas of improvement
8. Control resources and utilise assets to achieve qualitative and quantitative targets
10. Adhere to and manage the approved budget
11. Maintain an orderly workflow according to priorities","To provide excellent customer service and to promote this idea throughout the organisation. The goal is to keep the department running in an efficient and profitable manner, to increase customer satisfaction, loyalty and retention and to meet their expectations.",,Indonesia,KS Tubun Office,24-Feb-2020,23-Mar-2020,,1,Operations (George Hendrata (Inherited)),,EE
R-207,Sr Technical Support,<p>1. Overcome several kind of issues in technical area.<br />2. Support real time data for cross function.<br />3. Support analysis.</p>,"Support technology team by analysis, technical support, etc to ensure all technology activity run smoothly.",,Indonesia,GNT Office,24-Feb-2020,23-Mar-2020,,1,Operations (George Hendrata (Inherited)),,EE
